Compound,LogKp,MW,LogP,HBD,HBA,LogS
"2,4,6-Trichlorophenol",-4.783,197.44,3.482,1,1,-3.296
"2,4-Dichlorophenol",-4.778,163,2.878,1,1,2.514
"3,4-Xylenol",-5,122.167,2.697,1,1,-1.979
m-Cresol,-5.373,108.14,2.183,1,1,-1.439
m-Nitrophenol,-5.805,139.11,1.61,1,3,-1.694
o-Chlorophenol,-5.037,128.56,2.274,1,1,-1.714
o-Cresol,-5.36,108.14,2.183,1,1,-1.21
p-Bromophenol,-4.999,173.009,2.438,1,1,-2.118
p-Chlorophenol,-4.996,128.56,2.274,1,1,-1.714
p-Cresol,-5.313,108.14,2.183,1,1,-1.439
p-Ethylphenol,-5.014,122.167,2.628,1,1,-1.979
p-Nitrophenol,-5.81,139.11,1.61,1,3,-1.694
